NaN,-13.86,-12.46,-10.65,-9.57,-8.69,-7.84,-6.48,-5.54,-4.45,-3.14,-1.98,0.16,2.27,4.09,5.16,6.62,NaN
-19.8,NaN,-12.54,-10.65,-9.58,NaN,-7.84,-6.77,-5.66,-4.43,-3.31,NaN,0.379999999999999,2.98,4.12,5,NaN,7.28
-19.8,NaN,-12.57,-10.9,-9.51,NaN,-7.74,-6.77,-5.34,-4.41,-3.21,-1.98,0.280000000000001,NaN,3.73,4.94,NaN,7.28
-19.8,NaN,-12.96,-10.59,-9.44,-8.91,-7.76,-6.71,-5.11,NaN,-3.21,-1.85,0.16,2.19,3.81,4.84,6.62,NaN
-19.8,NaN,-12.92,-11.14,-9.26,NaN,-7.82,-6.71,-5.59,-4.44,-3.25,NaN,0.120000000000001,2.72,4.18,5.21,NaN,NaN
NaN,-13.91,-12.63,NaN,-9.63,NaN,-7.82,-6.43,-5.56,NaN,-3.26,-1.88,0.16,2.29,NaN,4.97,6.62,NaN
-19.8,-13.91,-12.48,-10.61,-9.36,NaN,-7.73,-6.66,-5.62,-4.85,-3.29,-1.81,0.169999999999998,2.47,4.02,4.85,6.66,7.26
-19.8,-13.9,-13,-10.64,-9.6,-8.72,-7.69,-6.49,-5.57,-4.49,-3.37,-1.83,0.32,NaN,4.2,5.13,6.64,7.26
-19.8,NaN,-12.98,-10.66,-9.28,NaN,-7.83,-6.66,-5.6,-4.53,-3.39,-1.92,0.27,2.42,4.22,5.15,NaN,NaN
NaN,NaN,-12.46,-10.66,-9.57,NaN,-7.72,-6.58,-5.59,NaN,-3.34,-1.94,0.16,2.66,4.17,5.27,NaN,NaN
NaN,-13.91,-12.41,-11.01,NaN,-8.49,-7.74,-6.51,-5.44,NaN,-3.14,-1.97,0.329999999999998,2.14,4.13,4.95,6.62,NaN
NaN,-13.7,NaN,NaN,-9.56,-8.83,-7.94,-6.47,-5.7,-4.99,-3.37,NaN,0.210000000000001,2.54,NaN,5.05,6.62,NaN
-19.8,-13.8,-12.45,-10.65,-9.68,-8.38,-7.79,-6.39,NaN,-4.88,-3.19,-1.94,0.32,2.75,4.04,4.95,6.62,NaN
-19.8,NaN,-12.71,-10.66,-9.55,-8.46,-7.75,-6.61,-5.59,NaN,-3.28,-1.88,0.34,2.25,4.33,NaN,NaN,7.28
-19.8,-13.72,-12.51,-10.65,-9.62,-8.94,-7.84,-6.37,-5.58,-4.8,-3.27,-1.9,0.199999999999999,2.08,NaN,4.78,6.63,7.19
NaN,-13.47,-12.5,-10.61,-9.48,-8.61,-7.79,-6.66,-5.52,-4.44,-2.95,-1.88,0.300000000000001,2.64,4.26,5.19,6.64,7.26
-19.8,-13.54,-12.5,-10.54,-9.6,NaN,-7.88,-6.52,-5.65,-4.43,-3.31,-1.6,0.289999999999999,2.13,4.01,4.82,NaN,7.28
-19.8,NaN,-12.33,-10.63,-9.55,-8.62,-7.79,-6.74,-5.73,-4.43,-3.41,NaN,0.0799999999999983,2.63,NaN,5.07,NaN,7.28
-19.8,-13.83,-12.57,-10.6,-9.34,NaN,-7.75,-6.55,-5.19,NaN,-3.33,NaN,0.25,NaN,4.16,4.94,6.62,NaN
-19.8,-13.79,-12.48,-10.74,-9.7,-8.54,-7.67,-6.76,-5.45,-4.54,-3.29,NaN,0.0399999999999991,NaN,NaN,4.92,6.64,7.26
-19.8,-13.72,-12.46,-10.59,-9.65,NaN,-7.77,-6.45,-5.54,-4.58,-3.19,-1.81,0.239999999999998,2.75,NaN,4.85,6.63,7.19
-19.8,-13.54,-12.52,-10.6,-9.6,-8.87,-7.79,-6.46,-5.59,-4.42,-3.1,-1.8,0.359999999999999,2.38,NaN,4.89,NaN,NaN
-19.8,-13.44,-12.59,-10.68,-9.42,NaN,-7.67,-6.46,-5.57,NaN,-3.37,-1.76,0.300000000000001,2.62,4.14,NaN,NaN,7.28
