-8.66,-7.87,-6.35,-5.53,-4.68,NaN,NaN,NaN,-1.39,0.23,1.7,NaN,4.2,5.82,NaN,NaN,NaN
-8.67,NaN,-6.37,-5.52,NaN,-3.92,-2.9,NaN,NaN,0.219999999999999,NaN,NaN,NaN,NaN,7.83,NaN,17.37
-8.66,-7.87,-6.36,-5.48,-4.38,NaN,-3.34,NaN,-1,0.149999999999999,1.7,NaN,NaN,5.82,NaN,12.23,NaN
-8.66,-7.87,NaN,-5.4,NaN,-3.78,-2.73,NaN,NaN,0.18,1.64,NaN,NaN,5.82,NaN,NaN,NaN
-8.67,NaN,-6.37,-5.45,NaN,NaN,-3.05,NaN,NaN,0.109999999999999,1.75,NaN,4.28,NaN,7.83,12.23,17.37
-8.67,NaN,NaN,-5.48,-4.56,NaN,-3.17,NaN,NaN,-0.0300000000000011,1.78,3.12,3.96,5.82,7.83,NaN,17.37
-8.65,-7.87,-6.37,-5.53,-4.47,NaN,-3.15,NaN,NaN,-0.0799999999999983,1.77,3.21,NaN,5.82,7.83,NaN,17.37
NaN,-7.86,NaN,-5.49,-4.66,-3.86,NaN,NaN,NaN,0.00999999999999801,1.61,NaN,4.14,NaN,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.47,-4.68,NaN,-3.18,NaN,-0.989999999999998,0.210000000000001,1.7,3.15,NaN,NaN,7.83,NaN,17.37
-8.66,-7.87,-6.37,-5.43,NaN,-3.91,-2.81,NaN,NaN,0.0199999999999996,1.8,NaN,NaN,5.82,7.83,12.23,17.37
-8.66,-7.87,NaN,-5.5,NaN,-3.93,NaN,NaN,NaN,0.0700000000000003,1.77,3.16,3.92,NaN,7.83,NaN,17.37
-8.67,NaN,-6.36,-5.48,-4.85,NaN,NaN,NaN,NaN,-0.109999999999999,1.59,3.12,4.23,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.48,NaN,-4.17,-3.12,NaN,NaN,0.0399999999999991,1.81,NaN,3.96,NaN,7.83,NaN,17.37
-8.67,NaN,-6.37,-5.53,NaN,NaN,-2.99,NaN,NaN,-0.0599999999999987,1.76,NaN,NaN,NaN,7.83,12.23,17.37
NaN,-7.86,-6.37,-5.41,-4.69,NaN,-3.16,NaN,-0.949999999999999,0.149999999999999,1.9,3.15,NaN,5.82,NaN,12.23,NaN
-8.67,NaN,-6.36,-5.48,NaN,-4,NaN,NaN,NaN,0.259999999999998,NaN,3.21,3.97,NaN,7.83,12.23,17.37
-8.66,-7.87,NaN,-5.51,NaN,-4.04,NaN,NaN,NaN,0.219999999999999,1.64,NaN,NaN,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.36,-5.46,-4.63,NaN,-3.09,-2.05,NaN,0.109999999999999,1.56,3.19,NaN,5.82,7.83,12.23,17.37
NaN,-7.86,-6.36,-5.49,NaN,-3.83,NaN,NaN,NaN,0.149999999999999,1.72,3.25,NaN,NaN,NaN,12.23,NaN
-8.67,NaN,NaN,-5.51,NaN,NaN,NaN,NaN,NaN,0.23,1.91,NaN,3.82,5.82,NaN,12.23,NaN
-8.66,-7.87,-6.37,-5.49,-4.58,NaN,-3.06,NaN,NaN,0.169999999999998,1.82,NaN,NaN,5.82,NaN,12.23,NaN
-8.67,NaN,NaN,-5.48,NaN,NaN,-2.92,-2.18,NaN,0.199999999999999,1.77,NaN,3.98,5.82,NaN,12.23,NaN
-8.66,-7.87,-6.36,-5.5,NaN,NaN,-3.21,NaN,-1.04,0.329999999999998,NaN,3.24,4.04,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.44,-4.7,NaN,NaN,-2.3,NaN,0.169999999999998,1.62,3.23,3.84,5.82,NaN,NaN,NaN
NaN,-7.86,-6.37,NaN,-4.65,NaN,-2.99,NaN,NaN,0.0399999999999991,NaN,NaN,NaN,5.82,7.83,NaN,17.37
-8.67,NaN,-6.36,-5.5,NaN,-4.3,-3.34,-2.2,-1.15,-0.0300000000000011,1.71,3.25,NaN,NaN,7.83,12.23,17.37
NaN,NaN,-6.36,-5.48,NaN,-3.89,-2.95,NaN,-1.12,0.259999999999998,1.65,NaN,3.79,NaN,7.83,NaN,17.37
-8.67,NaN,NaN,-5.48,NaN,-3.91,NaN,-2.43,-0.949999999999999,0.239999999999998,NaN,3.08,3.85,5.82,7.83,12.23,17.37
-8.67,NaN,NaN,-5.45,NaN,NaN,-3.24,-1.99,NaN,0,1.6,3.21,NaN,5.82,NaN,NaN,NaN
-8.66,-7.87,NaN,-5.47,-4.68,-3.73,NaN,NaN,NaN,0.120000000000001,1.76,NaN,4.31,NaN,NaN,NaN,NaN
NaN,-7.86,-6.37,NaN,NaN,-4.02,NaN,NaN,NaN,-0.0999999999999979,1.8,3.28,NaN,5.82,NaN,12.23,NaN
NaN,-7.86,NaN,-5.47,NaN,-3.8,NaN,NaN,NaN,0.0700000000000003,1.57,NaN,NaN,5.82,NaN,12.23,NaN
-8.66,-7.87,-6.37,-5.49,NaN,-4.03,-3.04,-1.93,NaN,0.129999999999999,1.71,NaN,3.96,NaN,7.83,12.23,17.37
-8.67,NaN,-6.36,-5.52,NaN,NaN,NaN,NaN,NaN,-0.0300000000000011,NaN,NaN,4.09,NaN,7.83,NaN,17.37
NaN,NaN,NaN,-5.5,NaN,NaN,-3.34,NaN,NaN,0.0999999999999979,1.73,3.31,NaN,5.82,NaN,12.23,NaN
NaN,NaN,NaN,NaN,-4.61,NaN,-3.19,NaN,-1.01,0.259999999999998,1.79,3.31,3.85,5.82,7.83,NaN,17.37
