i,N,boot,peaks_splithalf,peaks_spearmanbrown,jsd
4,14500,4,0.6309027680226512,0.7736853237272681,2.530022420056504e-4
4,15000,4,0.5070245975770782,0.6728816482388515,2.849487582903622e-4
5,500,5,-4.186746030043458e-4,-8.376999296941931e-4,0.00829319563303392
5,1000,5,-0.17749885145219058,-0.43160754672641805,0.005403850128916083
5,1500,5,0.46640834074121607,0.6361234149902115,0.0025366711633598724
5,2000,5,0.2630348513682307,0.41651242019693774,0.0028253677603493265
5,2500,5,0.10159555057198498,0.1844516356647105,0.0013758443696848806
5,3000,5,-0.06014385213506192,-0.12798522895592077,0.0022546287281233826
5,3500,5,0.3841271670117881,0.555046062481507,7.325199249910432e-4
5,4000,5,0.17875776317167724,0.30329855506647047,0.0012178663242972752
5,4500,5,0.22653478458792106,0.36938990631893076,0.0013850640616123355
5,5000,5,0.27593456266636607,0.432521495600426,9.789502877065458e-4
5,5500,5,0.33642031760112184,0.503464835382026,8.295667667423204e-4
5,6000,5,0.3277226112117638,0.4936612639482932,5.680358840651973e-4
5,6500,5,0.07838284033388768,0.14537108233216853,8.5698395380255e-4
5,7000,5,0.38523888576883086,0.5562057053502606,6.598291924121474e-4
5,7500,5,0.38175054775174566,0.5525607330105918,4.710430558147333e-4
5,8000,5,0.37428827411595406,0.5447012554287047,4.831413211448568e-4
5,8500,5,0.41461332843377985,0.5861860907147369,4.358423407290204e-4
5,9000,5,0.5105230818578456,0.6759553534659467,4.0972125248929243e-4
5,9500,5,0.3188391981231432,0.4835148948816312,6.144884149143653e-4
5,10000,5,0.5633266214185132,0.7206768102079251,3.5816822927709066e-4
5,10500,5,0.3980561602157854,0.569442303597227,4.306086790738937e-4
5,11000,5,0.5211297891769754,0.6851878030196734,2.864720574867339e-4
5,11500,5,0.6333851319002826,0.7755490355950545,3.90947249988166e-4
5,12000,5,0.6332700482337101,0.7754627581869344,3.3027125292290336e-4
5,12500,5,0.6589024532113669,0.7943836021652005,4.2309155256875595e-4
5,13000,5,0.5299861705427451,0.6927986419050292,2.777808593727916e-4
5,13500,5,0.6416667881179385,0.781725978453358,3.4941065833867896e-4
5,14000,5,0.6128430995268873,0.7599537731930145,2.2980058214690414e-4
5,14500,5,0.4514034369152582,0.6220233815549575,3.2751609359275044e-4
5,15000,5,0.4584613176435808,0.6286917754998281,2.797073332018899e-4
6,500,6,-0.12089408924680883,-0.2750387359885465,0.011916959244281324
6,1000,6,0.2653378608930118,0.4193944860003631,0.00341055495401855
6,1500,6,0.1639717175745531,0.28174519208461885,0.0032303336214501875
6,2000,6,0.3294949280121691,0.495669326854556,0.00165481392416987
6,2500,6,-0.2400795568542015,-0.6318544500799533,0.0022867327595866523
6,3000,6,0.06986307783718244,0.13060190464450178,0.0013909870496619206
6,3500,6,0.31588163815244924,0.4801064609366535,9.86661252045197e-4
6,4000,6,0.3186804157840701,0.483332294875384,0.0019060375067342162
6,4500,6,0.1705403411818942,0.29138737928451003,0.0013815728765084762
6,5000,6,0.38017179072972057,0.5509050297698335,8.339349476605008e-4
6,5500,6,0.5945346946410466,0.7457155954513554,4.6930134716071325e-4
6,6000,6,0.23400728849014707,0.37926402975538914,6.92808193802974e-4
6,6500,6,0.04721314756325665,0.09016912683557526,8.882361147447553e-4
6,7000,6,0.4738213998013914,0.6429834712201118,5.749554690640429e-4
6,7500,6,0.5091200244505862,0.6747243641352353,3.474466528417269e-4
6,8000,6,0.3691024406142263,0.539188930886186,4.517499540083735e-4
6,8500,6,0.5483201563908172,0.7082774891582743,4.154964329612919e-4
6,9000,6,0.6846999391313298,0.8128449740247238,3.036447981876932e-4
6,9500,6,0.5010071364900788,0.6675612984247664,3.4570516577613205e-4
6,10000,6,0.46356917436298417,0.6334776414852435,4.3740789874207274e-4
