i,N,boot,entropy.cor.r,entropy.cor.sp,peaks_splithalf,peaks_spearmanbrown,jsd
18,600,18,0.969692810468325,0.8818181818181817,0.627017695587524,0.7707570695610718,0.009971831400742209
19,50,19,0.5657816889093141,0.6032110091743119,3.5793008365091335e-4,7.156040310911173e-4,0.095190010978807
19,100,19,0.6305590414162373,0.36363636363636365,0.45609886677272,0.6264668933966168,0.039133522382851435
19,150,19,0.719800773904508,0.6727272727272727,0.33986883138883867,0.507316572229758,0.03828821568849282
19,200,19,0.9686422783967911,0.890909090909091,0.5758036362949095,0.7308063302211452,0.025636862391573104
19,250,19,0.9126401188521389,0.8,0.27019505042203107,0.42543867626040094,0.03768517885425385
19,300,19,0.9034175361604603,0.7363636363636363,0.6396022019502072,0.780191928492703,0.012621595243337662
19,350,19,0.9326450180606535,0.8454545454545456,0.11680696281261307,0.2091802195044371,0.02360534028941436
19,400,19,0.9659269491310996,0.9636363636363636,0.5055851510074848,0.6716128286323294,0.012275329716088317
19,450,19,0.9651440663955517,0.9181818181818181,0.6546601483111765,0.7912925793001702,0.010388638153150496
19,500,19,0.9415294309670859,0.7636363636363637,0.7039707153113252,0.8262709082799062,0.009214501734176367
19,550,19,0.9926689168672029,0.9454545454545454,0.7920564090492788,0.8839637023139024,0.009533281860140935
19,600,19,0.9964518571216958,1,0.7665166019259657,0.8678283590318504,0.00943351721329617
20,50,20,0.045630492938256245,-0.041002384282038465,0.3178077082557814,0.4823278939177311,0.09748147156688036
20,100,20,0.5533885265866662,0.4090909090909091,0.18040872894900303,0.3056716280124987,0.03884126935057081
20,150,20,0.9102462733410428,0.6181818181818182,0.05870477375602417,0.11089923312191002,0.03828669905273725
20,200,20,0.9029450058410912,0.8454545454545456,0.27440657078496533,0.4306421154372199,0.026812681308929675
20,250,20,0.9410247727561183,0.8545454545454546,0.3081565782495331,0.4711310302959035,0.024653385362507364
20,300,20,0.9704363590253374,0.9272727272727272,0.6394167046542879,0.7800539092214812,0.013536171813483945
20,350,20,0.9469985786526657,0.9,0.5141430244471565,0.6791208177112334,0.017081337592616215
20,400,20,0.9802277170399964,0.9636363636363636,0.6292466578545564,0.7724387892047829,0.01642257301300229
20,450,20,0.9514787366002414,0.8818181818181817,0.7308735931747016,0.8445141182541949,0.010458765780098874
20,500,20,0.9869315487521818,0.8818181818181817,0.492476737462696,0.6599456126866504,0.01101662883656587
20,550,20,0.977298195718188,0.9636363636363636,0.6967256610807685,0.8212590603916169,0.00918675458706229
20,600,20,0.9616569577206621,0.9272727272727272,0.6334946020231224,0.7756310932873902,0.0108378175895661
21,50,21,-0.2720726533081463,-0.14155398714293918,0.11782557387686927,0.21081209203010773,0.0823369292904631
21,100,21,0.59923991735553,0.4636363636363636,0.3389890066880618,0.5063357577916762,0.0550171257441586
21,150,21,0.8667741376535273,0.8636363636363636,0.38459541906967537,0.5555347270007425,0.029058074392733318
21,200,21,0.7088503984958032,0.6,0.6791124353504852,0.8088945338657234,0.01304308799029888
21,250,21,0.9067311727258911,0.7454545454545454,0.2210668345182061,0.3620880172467087,0.024443448257538188
21,300,21,0.9648106003569206,0.7363636363636363,0.5908591825735565,0.7428177038494568,0.02370391032395939
21,350,21,0.9096895107936589,0.7363636363636363,0.6316055030868966,0.7742134993930065,0.013009453673695437
21,400,21,0.9578992440685873,0.9181818181818181,0.6147810580249085,0.7614419985541164,0.015704211694076157
21,450,21,0.981449687807465,0.9363636363636364,0.6966065103244969,0.8211762787486444,0.0071616886107778895
21,500,21,0.9666912235703394,0.9181818181818181,0.7516265941940441,0.8582041362986743,0.010028103675424643
21,550,21,0.9639846586142091,0.8636363636363636,0.5158389230512684,0.6805985981847252,0.0125751215836217
21,600,21,0.9781582291302291,0.9272727272727272,0.6518430697846082,0.7892312311115669,0.014382788293535084
22,50,22,0.734822787907889,0.5080104834060724,0.21217976722606094,0.35007970428612384,0.14000698510474946
22,100,22,0.7142512681419035,0.6,0.3516525929207049,0.5203298462378413,0.03474568436440522
22,150,22,0.8606394684487476,0.8272727272727273,0.44313546781171825,0.6141287186069393,0.04083045293836645
22,200,22,0.860564125792808,0.6818181818181818,0.49582975445520283,0.6629494472595102,0.021915067875662803
22,250,22,0.8874036552740465,0.5909090909090909,0.6209810390681174,0.7661792755146747,0.018050909326253025
22,300,22,0.9373963709009207,0.8636363636363636,0.3195462091900289,0.48432742554150415,0.022738614721018735
