"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
28,4,1.643641459391,7.4050250074435,-0.115380786649746,6.34268457795428
28,5,1.74748630019821,7.55472352528982,-0.112566039220963,6.37803704284054
28,6,1.73426739006108,7.60698932868242,-0.133743881680422,6.40818149437402
28,7,1.4348252048571,7.61925567315514,-0.110595430457376,6.32857410929842
28,8,1.47368778180298,7.8684683866661,-0.0941531536409861,6.35394187575513
28,9,1.18913741153216,8.10267094132193,-0.108606313863234,6.28465930246484
28,10,1.30404675083601,7.75865704222835,-0.140238831817231,6.37448162477439
29,0,1.49942353792686,7.40309193177345,-0.104131404572439,6.48583283256499
29,1,1.68589941905394,7.26871866274958,-0.118023225676791,6.48017018628881
29,2,1.73176329502733,7.3532726389434,-0.124822694564605,6.46085533026802
29,3,1.69046986746533,7.43927959958585,-0.0864439299242636,6.41773359578444
29,4,1.67646383636137,7.59493557500327,-0.108235353688587,6.34821654026759
29,5,1.7541494603925,7.77448287294856,-0.0997237877929281,6.3562192035954
29,6,1.63158157025233,7.92050284197701,-0.136944713154535,6.26692805309717
29,7,1.59464087277974,8.0390018103365,-0.0895274453712494,6.33345303089775
29,8,1.56084565499508,8.28371819837469,-0.0801850350733165,6.37702679373528
29,9,1.17651447850858,8.52350509883835,-0.0971415506440685,6.3057875951058
29,10,1.31677031770718,8.48097706383395,-0.131977916069717,6.37765694553262
30,0,1.51864494416244,7.44698365881996,-0.108202705515969,6.48649793712961
30,1,1.66783543679204,7.36334246013444,-0.09075813885351,6.46292723338809
30,2,1.7852146122367,7.58082899007395,-0.108475873072983,6.50732281518555
30,3,1.70739585669557,7.79667281757858,-0.0947670057273708,6.36611605353692
30,4,1.70830846655142,7.93280519784536,-0.104405956681748,6.37235034184021
30,5,1.73389884229969,8.00871913334978,-0.0999775735006102,6.38721250757347
30,6,1.67859533913825,8.04532720959571,-0.12858151125812,6.36326231322489
30,7,1.46391886277992,8.30890594697727,-0.099871697639939,6.34246842963576
30,8,1.61084440434495,8.54014232205476,-0.0810583320800023,6.39519784446156
30,9,1.27626749974132,8.6485690863703,-0.114570324447469,6.20688419772025
30,10,1.14284400822607,8.33353031320939,-0.117161655053274,6.34380983148784
31,0,1.5375502717677,7.11235126126846,-0.0851073354398416,6.35324433916378
31,1,1.5497475762515,7.13212350258168,-0.120295792133325,6.43876617153665
31,2,1.78611303711594,7.19499680086872,-0.11360868456418,6.46973108883632
31,3,1.76605302846734,7.3802194991092,-0.110463742139007,6.3434019222408
31,4,1.59530228819909,7.72167851667092,-0.115211654467152,6.31096006297433
31,5,1.78895436719624,7.87675874367888,-0.134787827692132,6.40047571755834
31,6,1.63328392420533,7.92703621261378,-0.125924304307477,6.24035952248126
31,7,1.45433357529593,8.16461917340894,-0.111406563155557,6.35941485447497
31,8,1.53361826156238,8.28583615898451,-0.0923493588015566,6.36873549957936
31,9,1.20599294384241,8.47307229819076,-0.104987664715141,6.2594692611761
31,10,1.3113520785562,8.29131245081007,-0.0982827466005295,6.24845766179174
32,0,1.48497367121441,7.50309968905034,-0.0921452176304112,6.37361535663607
32,1,1.63949886378525,7.57337110998208,-0.125389126908299,6.44653494403897
32,2,1.7304642448019,7.64086321346434,-0.121411295489514,6.32106113520685
32,3,1.73396720525556,7.65858749652071,-0.103237417912845,6.46047037897161
32,4,1.67737130521724,7.8767294565505,-0.133487913239256,6.34876584317576
32,5,1.68119910051502,7.93213280420105,-0.116319140540008,6.39035926736708
32,6,1.68823972323276,7.97786650001347,-0.141593972935126,6.36912087220652
32,7,1.56291245981246,8.23104852853382,-0.0953267306838358,6.3208736460045
32,8,1.51698102667025,8.5745966091395,-0.105933351897992,6.35594342544932
32,9,1.26400838878269,8.64565869145426,-0.128610590848678,6.30093502550413
32,10,1.28167258754278,8.58678102311639,-0.112119801665516,6.3691639941669
33,0,1.57998664503161,7.6622866981454,-0.0962922662817224,6.37204726431683
33,1,1.67497768460454,7.61716513527246,-0.103827785669122,6.43264554040513
33,2,1.65822637033285,7.77450525114494,-0.117155629563123,6.43518708616803
33,3,1.72590970544955,7.95242054677545,-0.0755903896507918,6.37036081191465
33,4,1.60430871087456,8.00774675081956,-0.0821243398596842,6.32724390430981
33,5,1.71798317722153,8.16522546999035,-0.103954737760888,6.31109033510519
33,6,1.68837785693924,8.2160165293531,-0.116229669992919,6.30769544833034
33,7,1.41805627589398,8.39857821941027,-0.0950132725143399,6.33836481837638
33,8,1.46991742344982,8.62676741681606,-0.0912808815575526,6.36024215159242
33,9,1.20905283115724,8.80109989813174,-0.0923793525410309,6.31620759443466
33,10,1.22809065312294,8.54887158654053,-0.104189193619239,6.30265186064694
34,0,1.48386024992564,7.44437323031913,-0.121976044068495,6.48459205572236
34,1,1.71506489560257,7.4528274321971,-0.106305222462108,6.4319313834562
34,2,1.77514279969214,7.51327871420774,-0.128565786409976,6.42550470616105
34,3,1.72219778953519,7.59023089119604,-0.0968579629971889,6.40859507738921
34,4,1.63856681492805,7.65631937683214,-0.0962484487287215,6.35216126262553
34,5,1.73463054759309,7.82365493631495,-0.118984898959261,6.37033191819118
34,6,1.64461866411099,7.89814951411605,-0.143184741893804,6.30892641202708
34,7,1.61430274103631,8.09679570728012,-0.115588189378993,6.36330279639464
34,8,1.57761993980742,8.27989853180472,-0.110906444252011,6.39133096776435
